"","Name","Team","Date","Position","W","L","SV","G","GS","IP","K.per.9","BB.per.9","HR.per.9","BABIP","LOB.pct","GB.pct","HR.per.FB","ERA","FIP","xFIP","WAR"
"1","Chris Archer","Rays",2015-06-14,"SP",7,4,0,14,14,90,11.3,2.1,0.5,0.284,80,50.5,8.6,2,2.08,2.26,3.1
"2","Corey Kluber","Indians",2015-06-14,"SP",3,7,0,13,13,91.2,10.7,1.67,0.59,0.352,70.2,48.5,8.7,3.53,2.29,2.5,3
"3","Max Scherzer","Nationals",2015-06-14,"SP",6,5,0,12,12,84.1,10.35,1.39,0.64,0.279,80.2,33.6,6,2.13,2.26,3,2.9
"4","Sonny Gray","Athletics",2015-06-14,"SP",7,3,0,13,13,88,8.08,2.25,0.41,0.249,84.6,54.9,5.3,1.74,2.72,3.34,2.4
"5","David Price","Tigers",2015-06-14,"SP",6,2,0,13,13,92.1,7.99,1.95,0.58,0.291,75.6,36.6,5.8,2.44,2.89,3.62,2.4
"6","Gerrit Cole","Pirates",2015-06-14,"SP",10,2,0,13,13,84,9.96,2.04,0.43,0.316,81.9,51.9,7.1,1.71,2.36,2.68,2.4
"7","Clayton Kershaw","Dodgers",2015-06-14,"SP",5,3,0,13,13,87,11.59,2.28,0.83,0.304,72.8,52.2,16.7,3.21,2.58,2.16,2.3
"8","Chris Sale","White Sox",2015-06-14,"SP",6,2,0,11,11,74,11.31,2.07,0.73,0.297,72.9,42.1,9,3.04,2.41,2.63,2.3
"9","Dallas Keuchel","Astros",2015-06-14,"SP",7,2,0,13,13,94.2,6.85,2.28,0.38,0.235,81.8,64.2,9.8,1.9,2.89,2.95,2.3
"10","Michael Pineda","Yankees",2015-06-14,"SP",7,3,0,12,12,74.2,9.4,1.08,0.84,0.352,70.1,51.3,11.1,3.74,2.63,2.6,2.2
"11","Jacob deGrom","Mets",2015-06-14,"SP",7,4,0,13,13,85,9.53,1.8,0.74,0.273,80.1,42.4,10.1,2.33,2.73,2.79,2.2
"12","Jake Arrieta","Cubs",2015-06-14,"SP",6,4,0,12,12,77,9.7,1.75,0.82,0.32,72.9,50.5,12.7,3.16,2.79,2.61,2
"13","Carlos Carrasco","Indians",2015-06-14,"SP",8,5,0,13,13,74,10.34,2.19,0.73,0.342,67.8,47.2,9.2,4.38,2.67,2.85,2
"14","Johnny Cueto","Reds",2015-06-14,"SP",4,4,0,12,12,85.1,8.65,1.48,0.95,0.254,77,40.7,10.7,2.85,3.15,3.16,1.9
"15","Clay Buchholz","Red Sox",2015-06-14,"SP",3,6,0,13,13,79,9.23,2.39,0.57,0.344,67,49.3,7.5,4.22,2.79,3.15,1.9
"16","Zack Greinke","Dodgers",2015-06-14,"SP",5,2,0,13,13,87.2,7.7,1.75,0.72,0.254,86.8,47.7,8.8,1.95,3.08,3.32,1.8
"17","Jordan Zimmermann","Nationals",2015-06-14,"SP",5,4,0,13,13,77,6.08,2.1,0.35,0.337,68.4,39.2,3.4,3.74,3.04,4.15,1.8
"18","A.J. Burnett","Pirates",2015-06-14,"SP",6,2,0,12,12,76.2,8.22,2.7,0.35,0.31,82.2,55.5,5.9,2.11,2.76,3.19,1.8
"19","Jake Odorizzi","Rays",2015-06-14,"SP",4,5,0,12,12,76.2,7.4,1.76,0.59,0.26,79.5,40.7,6,2.47,2.97,3.66,1.8
"20","Lance Lynn","Cardinals",2015-06-14,"SP",4,4,0,12,12,73.1,9.45,2.82,0.61,0.328,77.5,40.4,6.8,3.07,2.87,3.4,1.7
"21","Trevor May","Twins",2015-06-14,"SP",4,4,0,11,11,62.2,7.9,1.72,0.57,0.335,69,40.5,5.5,4.16,2.8,3.6,1.7
"22","Jesse Chavez","Athletics",2015-06-14,"SP",2,6,0,10,10,65,6.92,2.35,0.42,0.293,72.4,41.6,4.4,2.91,2.95,3.82,1.7
"23","Jason Hammel","Cubs",2015-06-14,"SP",5,2,0,12,12,80,9,1.35,1.01,0.263,74.6,38.5,11.1,2.81,3.16,3.12,1.6
"24","Jose Quintana","White Sox",2015-06-14,"SP",3,6,0,12,12,74.1,7.51,2.78,0.48,0.332,70.4,46.7,5.6,4,3.22,3.86,1.5
